Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.501	0.499999	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1000	-0.22284083	1.98401	-0.29743242	-0.19184351	1.714584	-0.05007511	0.887	99.0	35.656818866729736
1	0.528	0.4992154	1.0	0.0	1.0	0.100513674	0.0019522762	0.1015625	0.09375	2000	-0.387176	1.8886721	-0.11661604	-0.16942942	1.2655638	-0.12573543	0.841	99.0	61.80688190460205
2	0.558	0.4966246	1.0	0.0	1.0	0.19440626	0.0025017573	0.1953125	0.1875	3000	-0.42331395	1.816723	-0.06811693	-0.16779983	1.1647596	-0.08983648	0.814	99.0	89.20862317085266
3	0.538	0.4985539	1.0	0.0	1.0	0.28975976	0.0022123407	0.296875	0.2890625	4000	-0.42609248	1.5936403	-0.04767844	-0.12544632	1.1595974	-0.07989302	0.756	99.0	115.88231372833252
4	0.545	0.49797088	1.0	0.0	1.0	0.375	0.0	0.375	0.375	5000	-0.43373254	1.4854671	-0.03904012	-0.10451782	1.1099976	-0.040069144	0.755	99.0	142.42436718940735
5	0.601	0.48969275	1.0	0.0	1.0	0.45351952	0.0011574569	0.45703125	0.453125	6000	-0.4342879	1.5017039	-0.024841487	-0.121587396	1.0777656	-0.0928245	0.711	99.0	169.1349799633026
6	0.584	0.4928935	1.0	0.0	1.0	0.54102147	0.0031265197	0.546875	0.5390625	7000	-0.44166142	1.3469077	-0.024336636	-0.09128988	1.0982188	-0.07036649	0.753	99.0	195.74181723594666
7	0.618	0.48587653	1.0	0.0	1.0	0.6188691	0.0032004914	0.625	0.6171875	8000	-0.42567185	1.3061739	-0.025911719	-0.08179915	1.0630628	-0.07563768	0.724	99.0	222.1372516155243
8	0.612	0.48729455	1.0	0.0	1.0	0.69446874	0.002424847	0.6953125	0.6875	9000	-0.43883938	1.2146741	-0.018826723	-0.06982148	1.0579755	-0.10470986	0.724	99.0	248.92467164993286
9	0.57	0.49507573	1.0	0.0	1.0	0.7655957	0.00021193881	0.765625	0.7636719	10000	-0.43877882	1.1065118	-0.017693222	-0.036928773	1.0634838	-0.045012824	0.74	99.0	275.3819077014923
