Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.49388	0.49996254	1.0	0.0	1.0	-0.10461198	0.109363854	0.5106574	-0.59557384	25000	0.018451579	2.161104	-0.01396293	-2.160101	2.2916505	0.021122402	0.21112	2.0	295.7907681465149
1	0.49976	0.49999994	1.0	0.0	1.0	0.49515024	0.8610641	2.114033	-0.12262289	50000	0.0073710475	0.001005506	-0.0026106653	-0.0005723748	2.3138802	0.02437238	0.18708	0.0	567.5761475563049
2	0.4986	0.49999803	1.0	0.0	1.0	0.4852898	0.8605775	2.0802286	-0.08960231	75000	0.004212554	0.00044980628	-0.0022126974	-0.00017423168	2.3183284	0.029994506	0.17484	0.0	834.5608093738556
3	0.49652	0.4999879	1.0	0.0	1.0	0.4774789	0.85985094	2.0626683	-0.08303638	100000	0.00084016984	0.0002891771	-0.001980584	-8.668985e-05	2.3207014	0.031094417	0.1668	0.0	1097.5511910915375
4	0.50404	0.49998364	1.0	0.0	1.0	0.4892901	0.8681352	2.05436	-0.06938735	125000	0.0014594104	0.0002043441	-0.0012972647	-4.806994e-05	2.3210738	0.03434086	0.16708	0.0	1364.729050397873
5	0.50572	0.4999673	1.0	0.0	1.0	0.4871989	0.86632335	2.0438993	-0.06492262	150000	0.0012511103	0.00015937329	-0.0010049342	-3.3094024e-05	2.3238478	0.036575355	0.1666	0.0	1631.692370414734
6	0.50496	0.49997535	1.0	0.0	1.0	0.48653665	0.86644924	2.042395	-0.061936732	175000	-0.0020690865	0.00013152267	-0.0012273148	-2.3556713e-05	2.3262568	0.04167675	0.16564	0.0	1899.8410866260529
7	0.49092	0.49991757	1.0	0.0	1.0	0.47278795	0.8574383	2.0375676	-0.05199715	200000	-0.0005885849	0.00011125995	-0.0010260909	-1.8636507e-05	2.3276157	0.043668866	0.16332	0.0	2159.3432195186615
8	0.4974	0.49999323	1.0	0.0	1.0	0.48291174	0.86330014	2.031288	-0.0519289	225000	-0.004172431	9.3678376e-05	-0.000989805	-1.4824756e-05	2.331686	0.046003364	0.1682	0.0	2411.755090236664
9	0.49648	0.4999876	1.0	0.0	1.0	0.4792741	0.8601646	2.0258758	-0.04983279	250000	-0.003952398	8.12664e-05	-0.0011427375	-1.1806951e-05	2.3332841	0.049782533	0.16728	0.0	2677.5850615501404
