Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	10.636168	4.7040496	26.742596	-3.9472115	10.0	0.07175175	0.14165181	0.81157506	-0.70215166	25000	0.034572694	51.11162	-0.18404567	-38.06189	1.5666444	0.24908875	0.89124	99.0	1675.5111842155457
1	10.390722	4.4730253	25.43717	-6.0549207	10.0	4.728781	1.4617555	11.080578	-1.1685383	50000	-0.04997729	44.90178	-0.064102456	-27.45834	1.8848753	0.486117	0.90172	99.0	3316.976795911789
2	10.748226	4.6350894	27.962952	-5.5664124	10.0	9.798973	1.6269422	15.936684	4.1896467	75000	-0.03308324	42.61667	-0.088717386	-26.37941	1.8156897	1.0748575	0.88408	99.0	4938.03458237648
3	9.828864	4.8561373	26.198008	-5.199765	10.0	14.779562	1.7773919	21.991646	7.476169	100000	0.0019549315	35.027775	-0.11036986	-18.563017	2.2592952	1.3374276	0.75708	99.0	6556.508017778397
4	9.630329	4.958246	26.39662	-5.608517	10.0	18.23648	2.1755562	27.655636	11.97726	125000	1.2904619	32.501396	-1.377059	-16.091654	2.1260993	1.5130012	0.67656	99.0	8176.862683296204
5	10.484172	4.979713	30.72284	-4.633543	10.0	21.053192	3.2500842	31.484167	14.144575	150000	0.06551573	33.13354	-0.15476574	-16.807276	1.8922774	1.4359443	0.63752	99.0	9799.610507965088
6	10.690919	5.1098166	33.599274	-7.350201	10.0	24.10914	3.4799657	35.578632	18.49088	175000	0.2386545	23.675295	-0.3286879	-7.967372	1.915034	1.681685	0.68156	99.0	11410.057725667953
7	10.719822	5.2561336	29.822134	-11.570858	10.0	26.912886	3.450228	39.464302	18.632599	200000	0.09510831	24.646206	-0.18146954	-9.493766	2.073688	1.8565787	0.64472	99.0	13020.961788892746
8	9.489166	4.8097754	27.822819	-5.5489526	10.0	27.780312	3.8262293	42.449314	21.078325	225000	0.23475148	18.792227	-0.32444644	-3.923602	2.41397	2.1161902	0.68024	99.0	14624.206081151962
9	10.363871	4.8331203	27.396309	-5.112148	10.0	29.023216	4.7003403	46.64201	20.928167	250000	-0.035016425	19.884874	-0.05303596	-5.6168594	2.3352382	2.4092698	0.63288	99.0	16217.549618005753
10	10.313875	5.0560727	26.067968	-5.333351	10.0	29.323858	4.8944874	45.73153	22.30974	275000	-0.034501117	18.3303	-0.049279954	-4.4998446	2.7948477	2.725585	0.61728	99.0	17816.921030044556
11	10.064554	4.68542	25.223242	-5.508903	10.0	30.177258	5.1620398	48.100502	21.425888	300000	0.90675193	18.341309	-0.9802352	-4.555806	3.1298819	2.8724518	0.57996	99.0	19407.78079867363
12	10.561908	5.114387	30.293135	-7.238942	10.0	32.274162	4.1995373	49.333073	23.849804	325000	-0.0482027	20.955502	-0.029329695	-6.4004	3.193182	2.9452388	0.57308	99.0	21000.91567516327
13	10.559794	4.9020367	27.892504	-6.416287	10.0	32.597633	5.6478353	51.47049	22.964115	350000	0.07381833	19.51799	-0.14641193	-5.402319	3.2274787	2.8795507	0.56492	99.0	22588.94154214859
14	10.796128	5.0614605	29.464878	-6.2733703	10.0	34.578438	5.006652	53.687904	24.757063	375000	-0.05350816	20.518244	-0.024546195	-6.689041	3.0418918	2.4921136	0.56264	99.0	24170.255525112152
15	10.460205	4.8773017	25.601603	-12.132856	10.0	35.029465	5.212302	53.74672	23.099926	400000	-0.034991007	17.913933	-0.046430875	-5.2344856	2.7506335	2.1417327	0.57888	99.0	25759.6164624691
16	9.598303	5.026907	27.420317	-8.809097	10.0	35.63099	5.4947033	56.50431	25.22938	425000	-0.038922444	18.862535	-0.041687906	-5.020278	2.596665	2.2243352	0.57908	99.0	27344.87707543373
